  invoice_detail_id,mode,product_total,quantity,unit_selling_price,order_id,product_id
899,VIPPS,13,1,,,
900,Mobile wallet,40,10,,,
901,Mobile wallet,61,2,,,
902,Internet Banking,61,2,,,
903,Internet Banking,73,5,,,
904,BioPay,79,1,,,
905,Mobile wallet,39,7,,,
906,Internet Banking,44,1,,,
907,Internet Banking,33,4,,,
908,VIPPS,87,8,,,
909,Internet Banking,34,10,,,
910,BioPay,4,5,,,
911,Mobile wallet,52,8,,,
912,Mobile wallet,43,6,,,
913,VIPPS,22,6,,,
914,VIPPS,40,5,,,
915,VIPPS,85,7,,,
916,BioPay,28,10,,,
917,VIPPS,93,3,,,
918,Mobile wallet,15,1,,,
919,Internet Banking,34,3,,,
920,Mobile wallet,8,6,,,
921,Mobile wallet,50,2,,,
922,VIPPS,82,9,,,
923,VIPPS,22,5,,,
924,BioPay,52,8,,,
925,VIPPS,14,2,,,
926,VIPPS,46,6,,,
927,Mobile wallet,77,9,,,
928,BioPay,32,7,,,
929,Mobile wallet,93,8,,,
930,Internet Banking,54,9,,,
931,Mobile wallet,3,7,,,
932,Internet Banking,88,9,,,
933,BioPay,99,8,,,
934,Internet Banking,87,5,,,
935,Mobile wallet,94,6,,,
936,Internet Banking,7,3,,,
937,VIPPS,32,4,,,
938,BioPay,16,10,,,
939,Internet Banking,27,7,,,
940,VIPPS,24,10,,,
941,Internet Banking,1,10,,,
942,Internet Banking,56,2,,,
943,Mobile wallet,32,2,,,
944,BioPay,80,5,,,
945,BioPay,4,5,,,
946,Mobile wallet,62,10,,,
947,Mobile wallet,73,3,,,
948,BioPay,71,6,,,
949,VIPPS,37,6,,,
950,VIPPS,83,6,,,
951,VIPPS,27,5,,,
952,Internet Banking,32,7,,,
953,Mobile wallet,57,1,,,
954,Internet Banking,63,7,,,
955,VIPPS,29,3,,,
956,VIPPS,78,4,,,
957,BioPay,76,3,,,
958,BioPay,41,8,,,
959,BioPay,66,10,,,
960,Internet Banking,31,10,,,
961,VIPPS,48,5,,,
962,Mobile wallet,20,6,,,
963,VIPPS,2,2,,,
964,Internet Banking,25,3,,,
965,VIPPS,30,9,,,
966,Internet Banking,88,1,,,
967,Mobile wallet,65,10,,,
968,Mobile wallet,76,9,,,
969,BioPay,65,2,,,
970,Internet Banking,32,1,,,
971,Mobile wallet,4,10,,,
972,VIPPS,100,1,,,
973,Internet Banking,84,8,,,
974,VIPPS,64,8,,,
975,Mobile wallet,40,3,,,
976,Internet Banking,44,8,,,
977,Internet Banking,78,3,,,
978,VIPPS,25,10,,,
979,BioPay,25,2,,,
980,Mobile wallet,66,3,,,
981,VIPPS,83,4,,,
982,VIPPS,89,2,,,
983,Mobile wallet,85,7,,,
984,VIPPS,56,6,,,
985,Internet Banking,96,8,,,
986,Mobile wallet,76,8,,,
987,VIPPS,73,8,,,
988,Internet Banking,99,2,,,
989,Internet Banking,48,3,,,
990,VIPPS,25,1,,,
991,Internet Banking,61,1,,,
992,Mobile wallet,20,9,,,
993,Mobile wallet,44,9,,,
994,VIPPS,34,5,,,
995,Internet Banking,52,3,,,
996,Internet Banking,44,5,,,
997,Mobile wallet,42,9,,,
998,Internet Banking,89,7,,,
999,Internet Banking,91,2,,,
1000,VIPPS,61,10,,,
